Volcano Name,Eruption Type,Start Date,Max. VEI
"Negra, Sierra",Confirmed Eruption,1860,2
Purace,Confirmed Eruption,1860,2
Cotopaxi,Confirmed Eruption,1860,2
Poas,Confirmed Eruption,1860,1
Raung,Confirmed Eruption,1859 Dec 14,2
Izalco,Confirmed Eruption,1859 Dec 8,0
Baker,Confirmed Eruption,1859 Nov,2
Ebeko,Confirmed Eruption,1859 Sep 27,2
Wolf,Confirmed Eruption,1859 Aug 26,--
Cosiguina,Confirmed Eruption,1859 Aug 25,--
Hood,Confirmed Eruption,1859 Aug 15,2
Lewotobi,Uncertain Eruption,1859 Jul,--
Villarrica,Confirmed Eruption,1859 May 19,2
"Fournaise, Piton de la",Confirmed Eruption,1859 May 8,2
Tongariro,Confirmed Eruption,1859 Apr 21,1
Lamongan,Confirmed Eruption,1859 Feb 27,2
Tengger Caldera,Confirmed Eruption,1859 Jan 30,2
Mauna Loa,Confirmed Eruption,1859 Jan 23,1
Mayon,Confirmed Eruption,1859,--
Serua,Confirmed Eruption,1859,2
Karthala,Confirmed Eruption,1859,2
Cotopaxi,Confirmed Eruption,1859,2
Masaya,Confirmed Eruption,1858 Nov 10,2
"Fournaise, Piton de la",Confirmed Eruption,1858 Nov 3,2
Gamalama,Uncertain Eruption,1858 Nov,1
Cotopaxi,Confirmed Eruption,1858 Nov,2
Tengger Caldera,Confirmed Eruption,1858 Oct 18,2
Midagahara,Discredited Eruption,1858 Apr 8,--
Masaya,Uncertain Eruption,1858 Apr,--
Lascar,Confirmed Eruption,1858 Apr,2
Tengger Caldera,Confirmed Eruption,1858 Mar 4,2
Ragang,Confirmed Eruption,1858 Feb 18,2
Izalco,Confirmed Eruption,1858 Feb 6,2
Mayon,Confirmed Eruption,1858 Jan,2
Makaturing,Uncertain Eruption,1858,--
Serua,Confirmed Eruption,1858,2
Karthala,Confirmed Eruption,1858,2
Lateiki,Confirmed Eruption,1858,2
Baker,Confirmed Eruption,1858,2
Rainier,Uncertain Eruption,1858,2
Momotombo,Confirmed Eruption,1858,2
San Miguel,Confirmed Eruption,1857 Nov,2
Fuego,Confirmed Eruption,1857 Sep 17,2
Tungurahua,Confirmed Eruption,1857 Sep 10,2
Etna,Uncertain Eruption,1857 Sep 6,1
Semeru,Confirmed Eruption,1857 Aug 13,2
Tinakula,Confirmed Eruption,1857 Aug,2
Chirpoi,Confirmed Eruption,1857 Jul,3
Fogo,Confirmed Eruption,1857 Jun 27,2
St. Helens,Confirmed Eruption,1857 Apr,2
Izalco,Confirmed Eruption,1857 Feb 15,2
Tongariro,Confirmed Eruption,1857 Feb,2
Fuego,Confirmed Eruption,1857 Jan 15,4
Cotopaxi,Confirmed Eruption,1857,2
Home Reef,Uncertain Eruption,1857,2
Stromboli,Confirmed Eruption,1857,3
Karthala,Confirmed Eruption,1857,2
Tengger Caldera,Confirmed Eruption,1857,2
Mayon,Confirmed Eruption,1857,2
Camiguin de Babuyanes,Confirmed Eruption,1857,2
Shiretoko-Iozan,Confirmed Eruption,1857,--
Tokachidake,Confirmed Eruption,1857,2
Reventador,Confirmed Eruption,1856 Dec 12,3
Masaya,Confirmed Eruption,1856 Dec,2
Ragang,Confirmed Eruption,1856 Nov 1,2
Cotopaxi,Confirmed Eruption,1856 Oct,2
Didicas,Confirmed Eruption,1856 Sep 30,2
Fuego,Confirmed Eruption,1856 Sep 29,2
Hokkaido-Komagatake,Confirmed Eruption,1856 Sep 25,4
Tengger Caldera,Confirmed Eruption,1856 Sep 10,2
Semeru,Confirmed Eruption,1856 Sep 10,2
Ruang,Confirmed Eruption,1856 Sep,1
Izalco,Confirmed Eruption,1856 May 24,2
Iwakisan,Uncertain Eruption,1856 May 20,2
Cotopaxi,Confirmed Eruption,1856 May,2
"Telong, Bur ni",Confirmed Eruption,1856 Apr 14,2
Asosan,Confirmed Eruption,1856 Mar 18,2
Awu,Confirmed Eruption,1856 Mar 2,3
Lamongan,Confirmed Eruption,1856 Mar 1,2
Fuego,Confirmed Eruption,1856 Jan 9,2
Makaturing,Uncertain Eruption,1856,--
Whakaari/White Island,Uncertain Eruption,1856,2
Suretamatai,Confirmed Eruption,1856,2
Veer,Discredited Eruption,1856,--
Baker,Uncertain Eruption,1856,--
Atitlan,Uncertain Eruption,1856,2
Banda Api,Uncertain Eruption,1855 Dec 29,--
Vesuvius,Confirmed Eruption,1855 Dec 19,3
San Miguel,Confirmed Eruption,1855 Dec,2
Cotopaxi,Confirmed Eruption,1855 Nov,2
Marapi,Confirmed Eruption,1855 Oct 2,2
Fuego,Confirmed Eruption,1855 Sep 29,2
Mauna Loa,Confirmed Eruption,1855 Aug 11,1
Tinakula,Confirmed Eruption,1855 Aug,2
Karthala,Confirmed Eruption,1855 Jul 1,2
Avachinsky,Confirmed Eruption,1855 May 28,2
Turrialba,Confirmed Eruption,1855 May,2
Gorely,Uncertain Eruption,1855 Apr,2
Mayon,Confirmed Eruption,1855 Mar 22,2
Io-Torishima,Confirmed Eruption,1855 Mar,2
Tacana,Uncertain Eruption,1855 Jan 12,1
Sinarka,Confirmed Eruption,1855,2
Chyulu Hills,Confirmed Eruption,1855,2
Tenduruk Dagi,Confirmed Eruption,1855,--
Tongariro,Confirmed Eruption,1855,2
Osorno,Confirmed Eruption,1855,2
Fujisan,Uncertain Eruption,1854 Dec 23,--
Vesuvius,Confirmed Eruption,1854 Dec 14,3
Cotopaxi,Confirmed Eruption,1854 Sep 14,2
Merapi,Uncertain Eruption,1854 Sep,--
Karymsky,Confirmed Eruption,1854 Sep,2
Marapi,Confirmed Eruption,1854 Aug 29,2
Avachinsky,Confirmed Eruption,1854 Aug 13,2
Hood,Uncertain Eruption,1854 Aug,--
Fuss Peak,Confirmed Eruption,1854 Jul 5,3
Alaid,Confirmed Eruption,1854 Jun 27,3
Chirpoi,Confirmed Eruption,1854 Jun 24,2
Makian,Uncertain Eruption,1854 Jun 18,1
Izalco,Confirmed Eruption,1854 May 13,2
Batur,Confirmed Eruption,1854 Apr 28,1
Cotopaxi,Confirmed Eruption,1854 Apr 3,2
Asosan,Confirmed Eruption,1854 Feb 26,2
Sheveluch,Confirmed Eruption,1854 Feb 18,5
Llullaillaco,Confirmed Eruption,1854 Feb 10,2
Momotombo,Confirmed Eruption,1854 Feb,2
St. Helens,Confirmed Eruption,1854 Feb,2
Lascar,Confirmed Eruption,1854 Jan 20,1
Unnamed,Confirmed Eruption,1854 Jan 15,0
Taranaki,Uncertain Eruption,1854,--
Tofua,Confirmed Eruption,1854,2
Late,Confirmed Eruption,1854,2
Baker,Confirmed Eruption,1854,2
Rainier,Uncertain Eruption,1854,2
Niigata-Yakeyama,Confirmed Eruption,1854,--
Opala,Uncertain Eruption,1854,--
Rincon de la Vieja,Confirmed Eruption,1854,2
San Miguel,Uncertain Eruption,1854,2
Grimsvotn,Confirmed Eruption,1854,2
Avachinsky,Confirmed Eruption,1853 Dec 21,2
Mutnovsky,Confirmed Eruption,1853 Dec 18,2
Chikurachki,Confirmed Eruption,1853 Dec,3
Kaba,Confirmed Eruption,1853 Nov,2
Villarrica,Confirmed Eruption,1853 Nov,2
Kueishantao,Confirmed Eruption,1853 Oct 29,2
Klyuchevskoy,Confirmed Eruption,1853 Oct,2
Cotopaxi,Confirmed Eruption,1853 Sep 13,3
Mayon,Confirmed Eruption,1853 Jul 13,3
Three Sisters,Discredited Eruption,1853 Jul,--
Niuafo'ou,Confirmed Eruption,1853 Jun 24,0
Atitlan,Confirmed Eruption,1853 May 3,3
Toya,Confirmed Eruption,1853 Apr 22,4
Masaya,Confirmed Eruption,1853 Apr 9,1
St. Helens,Confirmed Eruption,1853 Mar 15,2
Gede-Pangrango,Confirmed Eruption,1853 Mar 14,3
Lonquimay,Confirmed Eruption,1853 Feb,3
Dempo,Confirmed Eruption,1853 Jan 1,2
Mutnovsky,Confirmed Eruption,1853 Jan,2
Hood,Uncertain Eruption,1853,--
Lascar,Uncertain Eruption,1853,2
Rincon de la Vieja,Confirmed Eruption,1853,2
Turrialba,Confirmed Eruption,1853,2
Baker,Confirmed Eruption,1852 Dec 1,2
Cosiguina,Confirmed Eruption,1852 Dec,2
Niigata-Yakeyama,Confirmed Eruption,1852 Nov 1,2
Antuco,Confirmed Eruption,1852 Nov,3
Lewotolok,Confirmed Eruption,1852 Oct 5,2
Etna,Confirmed Eruption,1852 Aug 20,2
Klyuchevskoy,Confirmed Eruption,1852 Aug,2
Masaya,Confirmed Eruption,1852 Jun,2
Gede-Pangrango,Confirmed Eruption,1852 May 28,2
Maly Semyachik,Confirmed Eruption,1852 Apr 15,2
Mutnovsky,Confirmed Eruption,1852 Mar,2
Fogo,Confirmed Eruption,1852 Feb 19,2
Mauna Loa,Confirmed Eruption,1852 Feb 17,2
Klyuchevskoy,Confirmed Eruption,1852 Feb,2
Akutan,Confirmed Eruption,1852,--
Pavlof,Uncertain Eruption,1852,1
Veniaminof,Uncertain Eruption,1852,2
Chiginagak,Discredited Eruption,1852,--
Ugashik-Peulik,Uncertain Eruption,1852,--
Atitlan,Uncertain Eruption,1852,2
Popocatepetl,Uncertain Eruption,1852,1
Karymsky,Confirmed Eruption,1852,2
Sirung,Uncertain Eruption,1852,2
Bulusan,Uncertain Eruption,1852,--
Cameroon,Confirmed Eruption,1852,2
"Fournaise, Piton de la",Confirmed Eruption,1852,0
Home Reef,Confirmed Eruption,1852,2
Lateiki,Uncertain Eruption,1852,0
Barren Island,Uncertain Eruption,1852,2
Momotombo,Confirmed Eruption,1852,2
Fuego,Uncertain Eruption,1852,2
Cotopaxi,Confirmed Eruption,1852,2
Llaima,Confirmed Eruption,1852,2
Villarrica,Uncertain Eruption,1852,--
Osorno,Discredited Eruption,1852,--
Avachinsky,Confirmed Eruption,1851 Nov 26,2
Maly Semyachik,Confirmed Eruption,1851 Sep,2
Mauna Loa,Confirmed Eruption,1851 Aug 8,0
Pelee,Confirmed Eruption,1851 Aug 5,2
Cotopaxi,Confirmed Eruption,1851 Jun,2
Mayon,Confirmed Eruption,1851 May 26,1
Kelut,Confirmed Eruption,1851 Jan 24,2
Semeru,Confirmed Eruption,1851 Jan,2
Lateiki,Confirmed Eruption,1851,0
"Fournaise, Piton de la",Confirmed Eruption,1851,0
Rincon de la Vieja,Uncertain Eruption,1851,--
Osorno,Confirmed Eruption,1851,2
Jan Mayen,Confirmed Eruption,1851,--
"Fournaise, Piton de la",Confirmed Eruption,1850 Nov 3,0
Lassen Volcanic Center,Discredited Eruption,1850 Aug,--
"Negro, Cerro",Confirmed Eruption,1850 Apr 13,2
Baker,Uncertain Eruption,1850 Mar,--
St. Helens,Confirmed Eruption,1850 Mar,2
"Chichon, El",Confirmed Eruption,1850,--
Kunlun Volcanic Group,Uncertain Eruption,1850,--
Karthala,Confirmed Eruption,1850,0
Harrat Ash Shaam,Confirmed Eruption,1850,0
Rabaul,Confirmed Eruption,1850,2
Unnamed,Confirmed Eruption,1850,0
Mombacho,Discredited Eruption,1850,--
Fuego,Uncertain Eruption,1850,2
Izalco,Confirmed Eruption,1850,2
Telica,Discredited Eruption,1850,--
Cotopaxi,Confirmed Eruption,1850,2
Puntiagudo-Cordon Cenizos,Confirmed Eruption,1850,--
"Azul, Cerro",Confirmed Eruption,1850,--
Paulet,Uncertain Eruption,1850,--
Penguin Island,Confirmed Eruption,1850,--
Villarrica,Confirmed Eruption,1850,2
Raung,Confirmed Eruption,1849 Dec 1,--
Slamet,Confirmed Eruption,1849 Dec 1,2
Gamalama,Confirmed Eruption,1849 Nov 27,2
Lewotolok,Confirmed Eruption,1849 Oct 6,2
Wolf,Confirmed Eruption,1849 Sep 27,0
Merapi,Confirmed Eruption,1849 Sep 14,3
Lamongan,Confirmed Eruption,1849 Jun,2
Mauna Loa,Confirmed Eruption,1849 May,0
Merapi,Confirmed Eruption,1849 Apr 26,2
Semeru,Uncertain Eruption,1849,--
Kelut,Uncertain Eruption,1849,--
Batur,Confirmed Eruption,1849,2
Guntur,Discredited Eruption,1849,--
"Fournaise, Piton de la",Confirmed Eruption,1849,0
St. Helens,Uncertain Eruption,1849,2
Milna,Confirmed Eruption,1849,2
Rincon de la Vieja,Confirmed Eruption,1849,2
Momotombo,Confirmed Eruption,1849,2
Semeru,Confirmed Eruption,1848 Aug 4,2
Kelut,Confirmed Eruption,1848 May 16,3
Gede-Pangrango,Confirmed Eruption,1848 May 8,2
Ritter Island,Uncertain Eruption,1848 Apr 13,--
St. Helens,Confirmed Eruption,1848 Apr 1,2
Akutan,Confirmed Eruption,1848 Mar 5,2
Semeru,Confirmed Eruption,1848 Feb,2
Iwakisan,Uncertain Eruption,1848 Jan 18,2
Merapi,Uncertain Eruption,1848 Jan 8,--
"Fournaise, Piton de la",Confirmed Eruption,1848,0
Karthala,Confirmed Eruption,1848,0
Tomariyama [Golovnin],Confirmed Eruption,1848,1
Mutnovsky,Confirmed Eruption,1848,3
Kharimkotan,Confirmed Eruption,1848,2
Klyuchevskoy,Confirmed Eruption,1848,2
Socorro,Uncertain Eruption,1848,2
Lascar,Confirmed Eruption,1848,2
Antuco,Uncertain Eruption,1848,2
Dieng Volcanic Complex,Confirmed Eruption,1847 Dec 4,2
Purace,Confirmed Eruption,1847 Oct 27,3
Gede-Pangrango,Confirmed Eruption,1847 Oct 17,2
Guntur,Confirmed Eruption,1847 Oct 16,2
Lamongan,Confirmed Eruption,1847 Sep 25,2
Gamalama,Confirmed Eruption,1847 Sep 7,--
Tofua,Confirmed Eruption,1847 Jul 10,1
Kao,Confirmed Eruption,1847 Jul 10,2
Irazu,Confirmed Eruption,1847 May 18,2
Fogo,Confirmed Eruption,1847 Apr 9,2
Lamongan,Confirmed Eruption,1847 Mar 26,2
St. Helens,Confirmed Eruption,1847 Mar 26,2
Slamet,Confirmed Eruption,1847 Mar 20,2
Gamalama,Confirmed Eruption,1847 Feb 7,2
"Tara, Batu",Confirmed Eruption,1847,2
Batur,Uncertain Eruption,1847,--
"Fournaise, Piton de la",Confirmed Eruption,1847,0
Turrialba,Uncertain Eruption,1847,--
"Azul, Cerro",Confirmed Eruption,1846 Nov 26,2
Esan,Confirmed Eruption,1846 Nov 18,1
Fernandina,Confirmed Eruption,1846 Nov 6,0
Campi Flegrei del Mar di Sicilia,Confirmed Eruption,1846 Oct 4,2
Rinjani,Confirmed Eruption,1846 Sep 10,2
Merapi,Confirmed Eruption,1846 Sep 2,3
Serua,Confirmed Eruption,1846 Sep,2
Zubair Group,Uncertain Eruption,1846 Aug 14,2
Nasudake,Confirmed Eruption,1846 Aug,1
Pavlof,Confirmed Eruption,1846 Aug,2
Fonualei,Confirmed Eruption,1846 Jun 11,4
Tangkuban Parahu,Confirmed Eruption,1846 May 27,2
Gamalama,Confirmed Eruption,1846 May 19,2
Mayon,Confirmed Eruption,1846 May 11,3
Merapi,Confirmed Eruption,1846 Apr 6,2
Pacaya,Confirmed Eruption,1846 Feb,2
Mahawu,Confirmed Eruption,1846,2
"Fournaise, Piton de la",Confirmed Eruption,1846,0
Baker,Uncertain Eruption,1846,--
"Orizaba, Pico de",Confirmed Eruption,1846,2
Izu-Oshima,Confirmed Eruption,1846,2
Rasshua,Confirmed Eruption,1846,3
Kharimkotan,Confirmed Eruption,1846,2
Sinarka,Confirmed Eruption,1846,3
Marapi,Confirmed Eruption,1845 Nov 16,2
Hekla,Confirmed Eruption,1845 Sep 2,4
Pavlof,Confirmed Eruption,1845 Aug 12,2
Tofua,Confirmed Eruption,1845 Jul 1,0
Gamalama,Uncertain Eruption,1845 Apr 23,1
Talang,Confirmed Eruption,1845 Apr 22,2
Iwakisan,Confirmed Eruption,1845 Apr 4,2
Cotopaxi,Confirmed Eruption,1845 Apr,2
Antuco,Confirmed Eruption,1845 Feb 26,2
"Ruiz, Nevado del",Confirmed Eruption,1845 Feb 19,3
Soputan,Confirmed Eruption,1845 Feb 8,2
Gede-Pangrango,Confirmed Eruption,1845 Jan 23,2
Mayon,Confirmed Eruption,1845 Jan 20,3
Semeru,Confirmed Eruption,1845 Jan,2
Ambang,Confirmed Eruption,1845,--
Serua,Uncertain Eruption,1845,2
"Fournaise, Piton de la",Confirmed Eruption,1845,0
Kolokol Group,Confirmed Eruption,1845,2
Isanotski,Uncertain Eruption,1845,--
Akutan,Uncertain Eruption,1845,--
"Fournaise, Piton de la",Confirmed Eruption,1844 Dec,2
Tengger Caldera,Confirmed Eruption,1844 Nov 9,2
Tongariro,Confirmed Eruption,1844 Oct,2
Semeru,Confirmed Eruption,1844 Sep 25,2
Serua,Confirmed Eruption,1844 Aug,2
San Miguel,Confirmed Eruption,1844 Jul 25,2
Izalco,Confirmed Eruption,1844 Jun,2
Rincon de la Vieja,Confirmed Eruption,1844 May,2
Irazu,Uncertain Eruption,1844 May,2
Iya,Confirmed Eruption,1844 May,2
Iwakisan,Confirmed Eruption,1844 Apr 7,2
Gamalama,Uncertain Eruption,1844 Mar 24,1
"Fournaise, Piton de la",Confirmed Eruption,1844 Mar 19,2
Azumayama,Uncertain Eruption,1844,1
Makushin,Uncertain Eruption,1844,--
Korovin,Uncertain Eruption,1844,--
Cotopaxi,Confirmed Eruption,1844,2
Reventador,Confirmed Eruption,1844,3
"Negra, Sierra",Confirmed Eruption,1844,0
Reventador,Confirmed Eruption,1843 Dec 7,3
Guntur,Confirmed Eruption,1843 Nov 26,2
Etna,Confirmed Eruption,1843 Nov 17,2
Talang,Confirmed Eruption,1843 Oct 21,2
Lamongan,Confirmed Eruption,1843 Aug,2
Gede-Pangrango,Confirmed Eruption,1843 Jul 28,2
Atitlan,Confirmed Eruption,1843 Jul,2
Ketoi,Confirmed Eruption,1843 Jul,2
Gamalama,Confirmed Eruption,1843 Apr 10,2
Liamuiga,Uncertain Eruption,1843 Feb 8,--
Mauna Loa,Confirmed Eruption,1843 Jan 9,0
Guntur,Confirmed Eruption,1843 Jan 4,3
Tengger Caldera,Confirmed Eruption,1843 Jan,2
Agung,Confirmed Eruption,1843,5
Tangkoko-Duasudara,Confirmed Eruption,1843,2
Banahaw,Uncertain Eruption,1843,--
"Fournaise, Piton de la",Confirmed Eruption,1843,0
Baker,Confirmed Eruption,1843,3
Rainier,Uncertain Eruption,1843,2
Iliamna,Uncertain Eruption,1843,--
Chirippusan [Chirip],Confirmed Eruption,1843,2
Reventador,Confirmed Eruption,1843,2
St. Helens,Confirmed Eruption,1842 Nov 22,3
Etna,Confirmed Eruption,1842 Nov 18,2
Gamalama,Confirmed Eruption,1842 Oct 6,1
Milna,Confirmed Eruption,1842 Jun,3
"Fournaise, Piton de la",Confirmed Eruption,1842 Apr,0
Bagana,Confirmed Eruption,1842 Mar 15,1
Deception Island,Confirmed Eruption,1842 Feb,2
Tengger Caldera,Confirmed Eruption,1842 Jan 24,2
Semeru,Confirmed Eruption,1842 Jan,2
Tangkuban Parahu,Confirmed Eruption,1842,--
Kerinci,Confirmed Eruption,1842,2
Taal,Confirmed Eruption,1842,2
Shishaldin,Confirmed Eruption,1842,2
Irazu,Confirmed Eruption,1842,2
Izalco,Confirmed Eruption,1842,2
Planchon-Peteroa,Uncertain Eruption,1842,--
Guntur,Confirmed Eruption,1841 Nov 14,2
Vesuvius,Confirmed Eruption,1841 Sep 20,2
Lamongan,Confirmed Eruption,1841 Jul 16,2
Kuchinoerabujima,Confirmed Eruption,1841 May 23,2
Gamalama,Uncertain Eruption,1841 Mar 30,1
Hunter Island,Confirmed Eruption,1841 Mar 15,--
Erebus,Confirmed Eruption,1841 Jan 28,1
Suretamatai,Uncertain Eruption,1841,--
Tongariro,Confirmed Eruption,1841,2
Villarrica,Confirmed Eruption,1841,2
Gede-Pangrango,Confirmed Eruption,1840 Nov 12,3
Ararat,Confirmed Eruption,1840 Jul 2,3
Kilauea,Confirmed Eruption,1840 May 30,0
Guntur,Confirmed Eruption,1840 May 20,2
Gamalama,Confirmed Eruption,1840 Feb 2,3
Ragang,Confirmed Eruption,1840 Jan 20,2
Merapi,Confirmed Eruption,1840 Jan 4,1
Ruang,Confirmed Eruption,1840,2
Kuchinoerabujima,Confirmed Eruption,1840,2
Niuafo'ou,Discredited Eruption,1840,--
Tinakula,Confirmed Eruption,1840,3
Southern EPR-Segment K,Confirmed Eruption,1840,0
Klyuchevskoy,Confirmed Eruption,1840,2
Purace,Confirmed Eruption,1840,2
Midagahara,Confirmed Eruption,1839 Jun 10,2
Buckle Island,Confirmed Eruption,1839 Feb 9,2
Tongariro,Confirmed Eruption,1839 Feb,1
Gamalama,Confirmed Eruption,1839 Jan 29,2
"Telong, Bur ni",Confirmed Eruption,1839 Jan 12,2
Seulawah Agam,Confirmed Eruption,1839 Jan 12,2
Dempo,Confirmed Eruption,1839,2
Gede-Pangrango,Uncertain Eruption,1839,--
Mayon,Confirmed Eruption,1839,2
Deception Island,Uncertain Eruption,1839,--
Antuco,Uncertain Eruption,1839,2
Cameroon,Confirmed Eruption,1838 Dec 31,2
Lamongan,Confirmed Eruption,1838 Oct 18,2
Veniaminof,Confirmed Eruption,1838 Aug 4,3
Etna,Confirmed Eruption,1838 Jul 8,2
Lamongan,Confirmed Eruption,1838 Jul 4,2
Semeru,Confirmed Eruption,1838 Jul,2
Kolbeinsey Ridge,Discredited Eruption,1838 Jun 11,--
Grimsvotn,Confirmed Eruption,1838 Jun,2
Asosan,Confirmed Eruption,1838 Mar 4,2
Gamalama,Confirmed Eruption,1838 Feb 26,2
Raung,Confirmed Eruption,1838,2
Kaba,Uncertain Eruption,1838,--
Kerinci,Confirmed Eruption,1838,2
Shishaldin,Confirmed Eruption,1838,2
Pavlof,Confirmed Eruption,1838,1
Akutan,Uncertain Eruption,1838,--
Carlisle,Uncertain Eruption,1838,--
San Martin,Uncertain Eruption,1838,--
San Jose,Confirmed Eruption,1838,1
Izalco,Confirmed Eruption,1838,2
Poas,Uncertain Eruption,1838,2
Villarrica,Confirmed Eruption,1837 Nov 7,2
Osorno,Confirmed Eruption,1837 Nov 7,2
Asosan,Confirmed Eruption,1837 Oct 8,2
"Telong, Bur ni",Confirmed Eruption,1837 Sep 25,2
Merapi,Confirmed Eruption,1837 Aug 10,2
Atitlan,Confirmed Eruption,1837 Jun,2
Planchon-Peteroa,Confirmed Eruption,1837 Feb,2
Maipo,Uncertain Eruption,1837,--
Calbuco,Discredited Eruption,1837,--
Izu-Oshima,Uncertain Eruption,1837,2
Avachinsky,Uncertain Eruption,1837,--
Soufriere Guadeloupe,Confirmed Eruption,1836 Dec 3,2
Romanche Fracture Zone,Uncertain Eruption,1836 Nov,0
Guntur,Confirmed Eruption,1836 Oct 11,2
Semeru,Confirmed Eruption,1836 Aug 3,2
Midagahara,Confirmed Eruption,1836 Jul 9,1
Ruang,Confirmed Eruption,1836 Apr 22,2
Whakaari/White Island,Confirmed Eruption,1836,2
Izalco,Confirmed Eruption,1836,2
Galeras,Uncertain Eruption,1836,2
Villarrica,Confirmed Eruption,1836,2
Corcovado,Uncertain Eruption,1835 Nov 11,2
Miyakejima,Confirmed Eruption,1835 Nov 11,2
Banda Api,Uncertain Eruption,1835 Oct,--
Slamet,Confirmed Eruption,1835 Sep,2
Asosan,Confirmed Eruption,1835 May 1,2
Banua Wuhu,Confirmed Eruption,1835 Apr 23,2
St. Helens,Confirmed Eruption,1835 Mar,2
Michinmahuida,Confirmed Eruption,1835 Feb 20,0
Yanteles,Uncertain Eruption,1835 Feb 20,--
Purace,Confirmed Eruption,1835 Jan 23,2
Cosiguina,Confirmed Eruption,1835 Jan 20,5
Gamalama,Confirmed Eruption,1835 Jan 4,2
Vesuvius,Confirmed Eruption,1835 Jan,3
Hunter Island,Confirmed Eruption,1835,--
Savo,Confirmed Eruption,1835,3
Yokoatejima,Confirmed Eruption,1835,2
Kelut,Confirmed Eruption,1835,2
Tengger Caldera,Confirmed Eruption,1835,2
Hornopiren,Uncertain Eruption,1835,--
Maipo,Uncertain Eruption,1835,--
Planchon-Peteroa,Confirmed Eruption,1835,2
Tupungatito,Uncertain Eruption,1835,2
Guntur,Confirmed Eruption,1834 Dec,2
Osorno,Confirmed Eruption,1834 Nov 29,3
Michinmahuida,Confirmed Eruption,1834 Nov 25,2
Corcovado,Uncertain Eruption,1834 Nov,2
Kaba,Confirmed Eruption,1834 Nov,2
Chokaisan,Confirmed Eruption,1834 Jul 9,2
Popocatepetl,Uncertain Eruption,1834,1
Mayon,Confirmed Eruption,1834,3
Ragang,Confirmed Eruption,1834,2
Poas,Confirmed Eruption,1834,2
Galeras,Confirmed Eruption,1834,2
"Tair, Jebel at",Confirmed Eruption,1833 Dec 31,2
Ebeko,Confirmed Eruption,1833 Dec 31,2
Kaba,Confirmed Eruption,1833 Nov 24,2
Talang,Confirmed Eruption,1833 Oct,2
Guntur,Confirmed Eruption,1833 Sep 1,2
Gamalama,Confirmed Eruption,1833 Jun 15,2
Iwakisan,Uncertain Eruption,1833 Apr 11,2
Zaozan [Zaosan],Confirmed Eruption,1833,2
Atitlan,Confirmed Eruption,1833,2
Soputan,Confirmed Eruption,1833,2
Marapi,Confirmed Eruption,1833,2
Karthala,Confirmed Eruption,1833,--
"Ruiz, Nevado del",Uncertain Eruption,1833,2
Maipo,Uncertain Eruption,1833,2
Merapi,Confirmed Eruption,1832 Dec 25,2
Villarrica,Confirmed Eruption,1832 Dec 24,2
Etna,Confirmed Eruption,1832 Oct 31,2
Gede-Pangrango,Confirmed Eruption,1832 Aug 29,3
Guntur,Confirmed Eruption,1832 Aug 8,2
Mauna Loa,Confirmed Eruption,1832 Jun 20,0
Kirishimayama,Confirmed Eruption,1832 Apr 20,2
Semeru,Confirmed Eruption,1832 Apr 18,2
"Fournaise, Piton de la",Confirmed Eruption,1832 Mar,0
Barren Island,Confirmed Eruption,1832 Mar,2
Gorely,Confirmed Eruption,1832 Feb,3
Guntur,Confirmed Eruption,1832 Jan 16,2
Kilauea,Confirmed Eruption,1832 Jan 14,0
Zaozan [Zaosan],Confirmed Eruption,1831 Nov 22,2
St. Helens,Confirmed Eruption,1831 Aug,3
"Misti, El",Uncertain Eruption,1831 Aug,1
Campi Flegrei del Mar di Sicilia,Confirmed Eruption,1831 Jun 28,3
Gamalama,Confirmed Eruption,1831 May 27,2
Isanotski,Uncertain Eruption,1831 Mar,--
Maipo,Uncertain Eruption,1831 Feb 16,2
"Ruiz, Nevado del",Confirmed Eruption,1831,2
Guagua Pichincha,Confirmed Eruption,1831,3
Babuyan Claro,Uncertain Eruption,1831,4
Paluweh,Uncertain Eruption,1831,--
Pantelleria,Uncertain Eruption,1831,--
Vulcano,Uncertain Eruption,1831,1
Semeru,Confirmed Eruption,1830 Dec 15,2
Tengger Caldera,Confirmed Eruption,1830 Dec 15,2
Isanotski,Uncertain Eruption,1830 Nov,2
Shishaldin,Confirmed Eruption,1830 Nov,3
"Fournaise, Piton de la",Confirmed Eruption,1830 Oct,0
Hodson,Uncertain Eruption,1830 Sep 22,--
Zavodovski,Uncertain Eruption,1830 Sep,1
Asosan,Confirmed Eruption,1830 Aug 11,2
Fisher,Confirmed Eruption,1830 Aug,2
"Misti, El",Uncertain Eruption,1830 Aug,1
Reykjanes,Confirmed Eruption,1830 Mar 13,3
Tengger Caldera,Confirmed Eruption,1830 Mar 3,2
Asosan,Confirmed Eruption,1830 Feb 16,2
Lamongan,Confirmed Eruption,1830 Feb,2
Ebulobo,Confirmed Eruption,1830,2
Gamalama,Uncertain Eruption,1830,--
Karthala,Confirmed Eruption,1830,2
Karkar,Uncertain Eruption,1830,--
Manam,Confirmed Eruption,1830,2
Blup Blup,Discredited Eruption,1830,--
Zaozan [Zaosan],Confirmed Eruption,1830,2
Karymsky,Confirmed Eruption,1830,2
Yunaska,Confirmed Eruption,1830,2
Vsevidof,Confirmed Eruption,1830,--
Veniaminof,Uncertain Eruption,1830,2
Semisopochnoi,Uncertain Eruption,1830,--
